time,survival
0,100
0.031542056,99.69289614
0.10864486,98.4549581
0.185747664,97.6514887
0.262850467,97.18726193
0.339953271,96.61590592
0.417056075,95.84219464
0.490654206,94.69710196
0.564252336,93.85435183
0.64135514,92.59260729
0.718457944,91.52726638
0.795560748,91.02137824
0.872663551,90.52739335
0.949766355,90.00365033
1.026869159,89.33706831
1.103971963,88.59906679
1.181074766,88.03366239
1.25817757,87.46230637
1.335280374,87.00403123
1.412383178,86.26602971
1.489485981,85.63515744
1.566588785,84.89715592
1.643691589,84.15915439
1.720794393,83.17118461
1.797897196,82.7188611
1.875,81.58210069
1.952102804,81.33808405
2.029205607,79.95730701
2.106308411,79.48117699
2.183411215,79.0586116
2.260514019,78.54677184
2.337616822,77.90994794
2.411214953,77.21717877
2.474299065,75.73760475
2.54088785,74.55323134
2.617990654,73.5771648
2.695093458,72.32137189
2.772196262,71.60122524
2.849299065,70.86917534
2.926401869,69.79193118
3.003504673,68.8991874
3.080607477,68.08976638
3.15771028,67.79813674
3.234813084,67.68505587
3.311915888,67.09584497
3.389018692,66.26261745
3.466121495,65.5424708
3.543224299,65.45914804
3.613317757,64.84084032
3.683411215,63.59033773
3.760514019,63.10825609
3.837616822,62.71544883
3.914719626,61.65605955
3.99182243,60.84901917
4.054906542,60.19366022
